,id,item_group_id,mpn,title,description,image_link,link,gender,age_group,brand,availability,price,product_type,google_product_category
44,22575101,1,1,Oscar de la Renta - floral-embroidered midi dress,floral-embroidered midi dress,https://cdn-images.farfetch-contents.com/22/57/51/01/22575101_52564424_480.jpg,https://www.farfetch.com/ca/shopping/women/oscar-de-la-renta-floral-embroidered-midi-dress-item-22575101.aspx?storeid=10351,female,adult,Oscar de la Renta,in_stock,13376.00 USD,Women Home &gt; Oscar de la Renta &gt; Clothing &gt; Cocktail & Party Dresses,2271
45,23091289,1,1,Aje - Elysium floral-print midi dress,Elysium floral-print midi dress,https://cdn-images.farfetch-contents.com/23/09/12/89/23091289_53593630_480.jpg,https://www.farfetch.com/ca/shopping/women/aje-elysium-floral-print-midi-dress-item-23091289.aspx?storeid=11564,female,adult,Aje,in_stock,920.00 USD,Women Home &gt; Aje &gt; Clothing &gt; Day Dresses,2271
46,22589857,1,1,David Koma - mirror-detail denim dress,mirror-detail denim dress,https://cdn-images.farfetch-contents.com/22/58/98/57/22589857_52796159_480.jpg,https://www.farfetch.com/ca/shopping/women/david-koma-mirror-detail-denim-dress-item-22589857.aspx?storeid=9401,female,adult,David Koma,in_stock,1352.00 USD,Women Home &gt; David Koma &gt; Clothing &gt; Day Dresses,2271
47,22448706,1,1,KHAITE - Guisa ruched fringed dress,Guisa ruched fringed dress,https://cdn-images.farfetch-contents.com/22/44/87/06/22448706_53581859_480.jpg,https://www.farfetch.com/ca/shopping/women/khaite-guisa-ruched-fringed-dress-item-22448706.aspx?storeid=11192,female,adult,KHAITE,in_stock,6080.00 USD,Women Home &gt; KHAITE &gt; Clothing &gt; Cocktail & Party Dresses,2271
48,22153893,1,1,Versace - Medusa '95 draped gown,Medusa '95 draped gown,https://cdn-images.farfetch-contents.com/22/15/38/93/22153893_52382629_480.jpg,https://www.farfetch.com/ca/shopping/women/versace-medusa-95-draped-gown-item-22153893.aspx?storeid=9111,female,adult,Versace,in_stock,5300.00 USD,Women Home &gt; Versace &gt; Clothing &gt; Evening Dresses,2271
49,23390148,1,1,Ulla Johnson - Natalia lyocell maxi dress,Natalia lyocell maxi dress,https://cdn-images.farfetch-contents.com/23/39/01/48/23390148_53500483_480.jpg,https://www.farfetch.com/ca/shopping/women/ulla-johnson-natalia-lyocell-maxi-dress-item-23390148.aspx?storeid=9897,female,adult,Ulla Johnson,in_stock,1022.00 USD,Women Home &gt; Ulla Johnson &gt; Clothing &gt; Day Dresses,2271
50,22524025,1,1,Valentino Garavani - Couture gathered midi dress,Couture gathered midi dress,https://cdn-images.farfetch-contents.com/22/52/40/25/22524025_52575204_480.jpg,https://www.farfetch.com/ca/shopping/women/valentino-garavani-couture-gathered-midi-dress-item-22524025.aspx?storeid=12513,female,adult,Valentino Garavani,in_stock,7810.00 USD,Women Home &gt; Valentino Garavani &gt; Clothing &gt; Day Dresses,2271
51,23689344,1,1,PUCCI - Cigni-print asymmetric dress,Cigni-print asymmetric dress,https://cdn-images.farfetch-contents.com/23/68/93/44/23689344_53662540_480.jpg,https://www.farfetch.com/ca/shopping/women/pucci-cigni-print-asymmetric-dress-item-23689344.aspx?storeid=9837,female,adult,PUCCI,in_stock,2003.00 USD,Women Home &gt; PUCCI &gt; Clothing &gt; Day Dresses,2271
52,23134061,1,1,Marine Serre - Deadstock denim mini dress,Deadstock denim mini dress,https://cdn-images.farfetch-contents.com/23/13/40/61/23134061_53295650_480.jpg,https://www.farfetch.com/ca/shopping/women/marine-serre-deadstock-denim-mini-dress-item-23134061.aspx?storeid=9672,female,adult,Marine Serre,in_stock,692.00 USD,Women Home &gt; Marine Serre &gt; Clothing &gt; Day Dresses,2271
53,22370677,1,1,Simone Rocha - Shoulder Bite Sack tulle dress,Shoulder Bite Sack tulle dress,https://cdn-images.farfetch-contents.com/22/37/06/77/22370677_53286486_480.jpg,https://www.farfetch.com/ca/shopping/women/simone-rocha-shoulder-bite-sack-tulle-dress-item-22370677.aspx?storeid=10853,female,adult,Simone Rocha,in_stock,2423.00 USD,Women Home &gt; Simone Rocha &gt; Clothing &gt; Cocktail & Party Dresses,2271
